GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
,Population,,1202265,,1168532,,5700,,3784,,4952,,15411,,14632,,9014,,7683,,11848,,7256,,13628,,8364,,13669,,9872,,16406,,15151,,46224,,54635,,164857,,165945,,281101,,151338,,78719,,41548,,26795,,33733,
,MOE,,,5175.292069,,5134.947809,,557.1579668,,479.9531227,,497.5459778,,927.7839188,,873.6549662,,637.2228809,,657.518821,,759.3332602,,647.1645849,,822.9489656,,663.2593761,,827.5415397,,649.3003927,,894.3517205,,902.7895657,,1547.091788,,1552.092136,,2740.501049,,2802.789325,,3477.628215,,2543.263651,,1895.185743,,1348.393859,,1171.199385,,1209.259277
,Percentage,,,,,,0.004877915,,0.003238251,,0.004237796,,0.013188342,,0.012521694,,0.007713952,,0.006574916,,0.010139217,,0.0062095,,0.011662496,,0.007157699,,0.011697583,,0.008448207,,0.014039838,,0.012965841,,0.039557325,,0.046755245,,0.141080433,,0.142011515,,0.240559095,,0.129511216,,0.06736572,,0.035555723,,0.02293048,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
